재해위험지역,위도,경도
대구광역시 동구,35.8866236166116,128.635524099685
대구광역시 동구,35.8866236166116,128.635524099685
대구광역시 북구,35.8856831131871,128.582781134786
대구광역시 북구,35.8856831131871,128.582781134786
대구광역시 북구,35.8856831131871,128.582781134786
대구광역시 북구,35.8856831131871,128.582781134786
대구광역시 수성구 매호동,35.850378575853,128.709151243074
대구광역시 달성군 구지면,35.6587967490838,128.41359613327
대구광역시 달성군 구지면,35.6587967490838,128.41359613327
대구광역시 달성군 다사읍,35.8722148474928,128.494266152885
대구광역시 달성군 옥포면,35.7896007557194,128.463726101613
대구광역시 달성군 하빈면,35.9009239874899,128.445522157
대구광역시 달성군 현풍면,35.6974640247084,128.447655933061
대구광역시 달성군 현풍면,35.6974640247084,128.447655933061
대구광역시 달성군 다사읍,35.8722148474928,128.494266152885
