배수펌프장명,소재지지번주소,설치연도,설치목적,모터펌프규모(KW)(HP)_대,엔진펌프규모(KW)(HP)×대,한전전원공급방식(1회선-2회선),비상발전기(KW(HP)×대),한전계약전력(KW)고압-저압,위도,경도,데이터기준일자
현내배수장,대구광역시 달성군 하빈면 현내리 601-2,2012,배주장의 효율적 가동 및 농경지 침수피해 최소화,"125HP_2대, 50HP_1대",해당없음,1회선,해당없음,400KW(22.9KV),35.904542,128.438054,2024-09-04
감문배수장,대구광역시 달성군 하빈면 감문리 363-2,2003,배주장의 효율적 가동 및 농경지 침수피해 최소화,200HP_3대,해당없음,1회선,해당없음,600KW(22.9KV),35.893591,128.426169,2024-09-04
묘리배수장,대구광역시 달성군 하빈면 묘리 1003-5,2004,배주장의 효율적 가동 및 농경지 침수피해 최소화,150HP_2대,해당없음,1회선,해당없음,380KW(22.9KV),35.892349,128.423816,2024-09-04
동곡배수장,대구광역시 달성군 하빈면 동곡리 366-2,2004,배주장의 효율적 가동 및 농경지 침수피해 최소화,"200HP_3대, 100HP_1대",해당없음,1회선,해당없음,830KW(22.9KV),35.881983,128.412137,2024-09-04
하산배수장,대구광역시 달성군 하빈면 하산리 947-45,2010,배주장의 효율적 가동 및 농경지 침수피해 최소화,"150HP_3대, 75HP_1대",해당없음,1회선,해당없음,650KW(22.9KV),35.881064,128.409985,2024-09-04
봉촌배수장,대구광역시 달성군 하빈면 동곡리 1022,2008,배주장의 효율적 가동 및 농경지 침수피해 최소화,350HP_3대,해당없음,2회선,해당없음,1230KW(22.9KV),35.855344,128.404431,2024-09-04
하빈배수장,대구광역시 달성군 하빈면 동곡리 981,2008,배주장의 효율적 가동 및 농경지 침수피해 최소화,900HP_5대,해당없음,2회선,해당없음,7000KW(22.9KV),35.856579,128.408690,2024-09-04
봉촌상시배수장,대구광역시 달성군 하빈면 동곡리 978-1,2013,배주장의 효율적 가동 및 농경지 침수피해 최소화,175HP_3대,해당없음,1회선,해당없음,325KW(0.38KV),35.857016,128.409144,2024-09-04
문산상시배수장,대구광역시 달성군 다사읍 문산리 163,2013,배주장의 효율적 가동 및 농경지 침수피해 최소화,255HP_2대,해당없음,1회선,해당없음,240KW(22.9KV),35.851443,128.434496,2024-09-04
매곡배수장,대구광역시 달성군 다사읍 매곡리 1167,1999,배주장의 효율적 가동 및 농경지 침수피해 최소화,270HP_2대,해당없음,1회선,해당없음,435KW(22.9KV),35.849750,128.447336,2024-09-04
매곡상시배수장,대구광역시 달성군 다사읍 매곡리 1167,2013,배주장의 효율적 가동 및 농경지 침수피해 최소화,60HP_2대,해당없음,1회선,해당없음,57KW(0.38KV),35.849750,128.447336,2024-09-04
서재배수장,대구광역시 달성군 다사읍 서재리 1083-13,2003,배주장의 효율적 가동 및 농경지 침수피해 최소화,50HP_2대,해당없음,1회선,해당없음,73KW(0.38KV),35.877324,128.496936,2024-09-04
서재간이배수장,대구광역시 달성군 다사읍 서재리 924-2,2007,배주장의 효율적 가동 및 농경지 침수피해 최소화,"40HP_2대, 50HP_1대",해당없음,1회선,해당없음,74KW(0.38KV),35.875298,128.484669,2024-09-04
본리배수장,대구광역시 달성군 옥포면 본리리 5-1,1986,배주장의 효율적 가동 및 농경지 침수피해 최소화,"75HP_1대, 50HP_1대,",해당없음,1회선,해당없음,69KW(0.38KV),35.803708,128.465263,2024-09-04
하리배수장,대구광역시 달성군 논공읍 하리 755,1999,배주장의 효율적 가동 및 농경지 침수피해 최소화,"200HP_2대, 300HP_1대, 350HP_2대",해당없음,1회선,해당없음,1540KW(22.9KV),35.737973,128.417823,2024-09-04
성하배수장,대구광역시 달성군 현풍면 성하리 632-1,2000,배주장의 효율적 가동 및 농경지 침수피해 최소화,50HP_2대,해당없음,1회선,해당없음,150KW(22.9KV),35.697104,128.431251,2024-09-04
자모배수장,대구광역시 달성군 현풍면 자모리 922,1999,배주장의 효율적 가동 및 농경지 침수피해 최소화,"200HP_2대, 100HP_3대",해당없음,1회선,해당없음,850KW(22.9KV),35.697644,128.387195,2024-09-04
도동배수장,대구광역시 달성군 구지면 도동리 254-3,2004,배주장의 효율적 가동 및 농경지 침수피해 최소화,50HP_2대,해당없음,1회선,해당없음,98KW(0.38KV),35.695230,128.355695,2024-09-04
오설배수장,대구광역시 달성군 구지면 오설리 721,2007,배주장의 효율적 가동 및 농경지 침수피해 최소화,40HP_2대,해당없음,1회선,해당없음,90KW(0.38KV),35.676747,128.366685,2024-09-04
징리배수장,대구광역시 달성군 구지면 징리 294-5,2007,배주장의 효율적 가동 및 농경지 침수피해 최소화,350HP_3대,해당없음,1회선,해당없음,1230KW(22.9KV),35.664972,128.380216,2024-09-04
내리배수장,대구광역시 달성군 구지면 내리 773-3,2001,배주장의 효율적 가동 및 농경지 침수피해 최소화,100HP_2대,해당없음,1회선,해당없음,250KW(22.9KV),35.632846,128.403441,2024-09-04
대암배수장,대구광역시 달성군 구지면 대암리 570-3,1999,배주장의 효율적 가동 및 농경지 침수피해 최소화,50HP_2대,해당없음,1회선,해당없음,150KW(22.9KV),35.621803,128.396728,2024-09-04
대암2배수장,대구광역시 달성군 구지면 대암리 758-1,2006,배주장의 효율적 가동 및 농경지 침수피해 최소화,50HP_2대,해당없음,1회선,해당없음,95KW(0.38KV),35.613490,128.389513,2024-09-04
